date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5,volatility21
2023-11-03,34716.78,39071.20644,46,65.0,7,-0.0064546666973641625,826.5,77.01000000000204,-8944.370879999995,0.013643290869749912,0.02555012110016352
2023-11-04,35062.07,18377.55545,38,68.0,7,0.00989677583723088,669.8199999999997,-359.3600000000006,-20693.650990000002,0.014047312604905743,0.025516927069129492
2023-11-05,35011.88,24528.73376,38,70.0,7,-0.0014324869251003767,932.0,70.29000000000087,6151.178309999999,0.014166812701386805,0.02564069597046036
2023-11-06,35046.09,22346.47086,44,74.0,7,0.0009766198683485855,550.4300000000003,329.3099999999977,-2182.262899999998,0.008745645121754514,0.025707378775632304
2023-11-07,35399.12,38688.73692,45,68.0,7,0.010022908737337355,1364.9400000000023,337.0500000000029,16342.266060000002,0.007232319784264835,0.025807374069445284
2023-11-08,35624.72,33401.34137,43,66.0,7,0.0063528178351219345,1006.0,612.8400000000038,-5287.395550000001,0.00520742832269906,0.02580078121550533
2023-11-09,36701.09,82537.88885,65,69.0,7,0.029766675983155067,2438.189999999995,1655.0,49136.54748,0.012373620055075732,0.025078933784578906
2023-11-10,37301.63,43414.04898,58,70.0,7,0.01623057053490802,1201.2900000000009,1902.5099999999948,-39123.83987,0.011052409394950615,0.025414872418798123
2023-11-11,37130.0,22984.97235,44,70.0,7,-0.004611757237879132,741.3300000000017,1505.2799999999988,-20429.07663,0.01269153365874319,0.025662537069732025
2023-11-12,37064.13,17687.18874,40,73.0,7,-0.0017756126342137468,491.1200000000026,363.0400000000009,-5297.783609999999,0.01406904369241666,0.025733414832495062
2023-11-13,36462.93,32798.18252,44,72.0,7,-0.016353527492521336,1084.989999999998,-838.6999999999971,15110.99378,0.018256326508103583,0.027136025326736965
2023-11-14,35551.19,45503.68416,46,69.0,7,-0.0253224983929354,1944.0,-1578.8099999999977,12705.501639999995,0.015762721520365622,0.027548540170087406
2023-11-15,37858.2,53569.13385,52,60.0,7,0.06287397140001015,2620.0,794.0699999999997,8065.449690000001,0.03479351067653961,0.024973792850821144
2023-11-16,36163.51,47490.39566,50,70.0,7,-0.04579700167213188,2429.540000000001,-299.41999999999825,-6078.738189999996,0.041301321399947,0.02232631920387515
2023-11-17,36613.92,38283.61112,44,63.0,7,0.012377896572665345,938.9000000000015,1062.729999999996,-9206.78454,0.04207882306849571,0.022466851914576043
2023-11-18,36568.1,17102.24186,34,69.0,3,-0.001252220312786142,666.9099999999962,-1290.0999999999985,-21181.369260000003,0.04136681005307444,0.02276138173361916
2023-11-19,37359.86,21246.34648,34,66.0,3,0.021420590373204398,1115.9800000000032,1196.3499999999985,4144.104620000002,0.039279863147646595,0.022607463272809138
2023-11-20,37448.78,36022.70291,46,69.0,7,0.0023772666332884944,1073.0,834.8600000000006,14776.35643,0.025947024718552973,0.02695428195788896
2023-11-21,35741.65,47646.54804,46,71.0,7,-0.046657457238005864,1914.4400000000023,-826.4499999999971,11623.845130000002,0.026309004111804035,0.024262118149679417
2023-11-22,37408.34,45051.30697,49,62.0,7,0.045576998787717926,2229.0899999999965,48.479999999995925,-2595.2410700000037,0.0340150389655142,0.023384765224337124
2023-11-23,37294.28,23827.92882,39,66.0,7,-0.003053710529443689,783.4400000000023,-154.5,-21223.378149999997,0.03409790039587946,0.023294134508334296
2023-11-24,37713.57,44680.80646,44,66.0,7,0.011180012954367782,1162.489999999998,1971.9199999999983,20852.87764,0.033077149839463964,0.02430106969077307
2023-11-25,37780.67,11396.14464,38,73.0,7,0.0017776195288349984,296.90000000000146,372.33000000000175,-33284.66182,0.03307600414809568,0.024297112294424626
2023-11-26,37447.43,21264.53723,38,73.0,7,-0.008859513391713852,664.6299999999974,153.15000000000146,9868.392590000001,0.021555280328877022,0.024823133340320745
2023-11-27,37242.7,30001.07376,40,66.0,7,-0.005482130309367848,862.2300000000032,-470.8700000000026,8736.536529999998,0.007779521583174551,0.02532049474895031
2023-11-28,37818.87,37544.46667,44,68.0,7,0.01535223194675372,1508.5899999999965,38.200000000004366,7543.392910000002,0.01040872397074714,0.025450152703164163
2023-11-29,37854.64,32994.19107,44,72.0,7,0.0009453771250752638,880.0,407.2099999999991,-4550.275600000001,0.009293835239975526,0.026098950859964783
2023-11-30,37723.96,24740.29147,42,74.0,7,-0.0034581251896556686,645.8499999999985,481.26000000000204,-8253.8996,0.009442415301783864,0.026000571509008055
2023-12-01,38682.52,43415.66324,45,71.0,7,0.025092382063089787,1383.1399999999994,863.6499999999942,18675.37177,0.013206321547311854,0.025688218185407154
2023-12-02,39450.35,26696.92161,46,74.0,7,0.019655100831166433,1075.5299999999988,1595.7099999999991,-16718.74163,0.012260121035948042,0.02562317305136292
2023-12-03,39972.26,26710.65335,49,73.0,7,0.013142794289187723,975.1399999999994,2248.300000000003,13.731739999999263,0.012126436919857854,0.025955150342532613
2023-12-04,41991.1,79272.33059,91,74.0,7,0.049271977534901416,2447.739999999998,3308.5800000000017,52561.67724,0.019218875954239944,0.023890611701404565
2023-12-05,44073.32,67490.74644,90,75.0,7,0.04839691964470645,3074.0,4622.970000000001,-11781.584149999995,0.016725294643177985,0.022012440474504708
2023-12-06,43762.69,51431.10492,87,72.0,7,-0.007072982823143485,961.9300000000003,3790.4300000000003,-16059.641520000005,0.024155052650964542,0.022537421460951192
2023-12-07,43273.14,47103.26845,67,72.0,7,-0.011249508685349425,1226.2300000000032,1282.0400000000009,-4327.836469999995,0.029190969292072228,0.022832853781651164
2023-12-08,44170.99,42900.37556,63,72.0,7,0.020536119557329653,1618.9000000000015,97.66999999999825,-4202.892890000003,0.029038752427769012,0.022408122319733027
2023-12-09,43713.6,24925.97008,57,73.0,7,-0.010408972260493799,773.5099999999948,-49.09000000000378,-17974.40548,0.02610405111906618,0.022345708159164278
2023-12-10,43789.51,18956.61758,49,74.0,7,0.0017350244818206502,486.0,516.3700000000026,-5969.352500000001,0.013241229223726848,0.022361563726744197
2023-12-11,41253.4,76663.89804,69,74.0,7,-0.059660757354924286,3582.5,-2917.5899999999965,57707.28046,0.029672003414769426,0.020248524945371927
2023-12-12,41492.39,42722.69773,55,67.0,7,0.005776503301278852,1424.1200000000026,-2221.209999999999,-33941.20031,0.030711122165889948,0.02047229057404763
2023-12-13,42869.03,45865.99773,56,65.0,7,0.032639616880829996,2920.199999999997,-920.4800000000032,3143.300000000003,0.03387643434990094,0.0222651231186022
2023-12-14,43022.26,42047.05709,58,72.0,7,0.0035680023564587876,2020.0,1768.8600000000006,-3818.9406400000007,0.03399644287067697,0.023207182343922043
2023-12-15,41940.3,33421.7932,50,70.0,7,-0.025470477640977214,1414.8099999999977,447.9100000000035,-8625.263890000002,0.03516837982504414,0.022393840776643147
2023-12-16,42278.03,24118.85747,43,67.0,7,0.008020387258140575,1119.4300000000003,-591.0,-9302.935730000001,0.020640562720037194,0.022397855903587383
2023-12-17,41374.65,27722.11452,42,73.0,7,-0.021599191335207872,1172.0699999999997,-1647.6100000000006,3603.25705,0.023748984879238363,0.021759868300002944
